Reference Area,Time Period,Sex,Value
"China, Macao Special Administrative Region",2005,Female,75.91837
"China, Macao Special Administrative Region",2005,Male,55.43237
"China, Macao Special Administrative Region",2005,Total,66.09989
"China, Macao Special Administrative Region",2004,Female,73.30317
"China, Macao Special Administrative Region",2004,Male,55.71429
"China, Macao Special Administrative Region",2004,Total,64.73318
"China, Macao Special Administrative Region",2003,Female,72.19251
"China, Macao Special Administrative Region",2003,Male,53.5809
"China, Macao Special Administrative Region",2003,Total,62.84953
"China, Macao Special Administrative Region",2002,Female,68.60465
"China, Macao Special Administrative Region",2002,Male,47.96748
"China, Macao Special Administrative Region",2002,Total,57.92426
"China, Macao Special Administrative Region",2001,Female,63.02251
"China, Macao Special Administrative Region",2001,Male,50.49834
"China, Macao Special Administrative Region",2001,Total,56.86275
"China, Macao Special Administrative Region",2000,Female,67.69231
"China, Macao Special Administrative Region",2000,Male,53.68421
"China, Macao Special Administrative Region",2000,Total,60.36697
Colombia,2014,Female,99.42741
Colombia,2014,Male,99.08886
Colombia,2014,Total,99.24508
Colombia,2013,Female,97.62036
Colombia,2013,Male,98.26445
Colombia,2013,Total,97.96827
Colombia,2012,Female,97.98462
Colombia,2012,Male,97.34859
Colombia,2012,Total,97.63869
Colombia,2011,Female,97.62618
Colombia,2011,Male,97.32052
Colombia,2011,Total,97.45796
Colombia,2010,Female,97.34617
Colombia,2010,Male,96.00728
Colombia,2010,Total,96.64225
Colombia,2009,Female,97.33038
Colombia,2009,Male,95.99825
Colombia,2009,Total,96.62847
Colombia,2007,Female,97.34374
Colombia,2007,Male,96.00307
Colombia,2007,Total,96.63868
Comoros,2003,Total,44.8325
Congo,2012,Female,93.39513
Congo,2012,Male,82.56517
Congo,2012,Total,84.21704
Costa Rica,2015,Female,95.54947
Costa Rica,2015,Male,95.61571
Costa Rica,2015,Total,95.57798
Costa Rica,2014,Female,94.86075
Costa Rica,2014,Male,95.35707
Costa Rica,2014,Total,95.07167
Costa Rica,2013,Female,95.12624
Costa Rica,2013,Male,95.51754
Costa Rica,2013,Total,95.29239
Costa Rica,2011,Female,89.29091
Costa Rica,2011,Male,89.90632
Costa Rica,2011,Total,89.52208
Costa Rica,2010,Female,87.4928
Costa Rica,2010,Male,88.10642
Costa Rica,2010,Total,87.72619
Costa Rica,2009,Female,85.25929
Costa Rica,2009,Male,86.79
Costa Rica,2009,Total,85.85036
Costa Rica,2008,Female,82.30545
Costa Rica,2008,Male,83.99866
Costa Rica,2008,Total,82.98387
Costa Rica,2007,Female,84.68445
Costa Rica,2007,Male,86.12385
Costa Rica,2007,Total,85.27253
Costa Rica,2006,Female,79.27614
Costa Rica,2006,Male,82.12204
Costa Rica,2006,Total,80.43789
Costa Rica,2002,Total,86.19881
Costa Rica,2001,Total,84.59695
Croatia,2003,Female,100
Croatia,2003,Male,100
Croatia,2003,Total,100
Croatia,2002,Female,100
Croatia,2002,Male,100
Croatia,2002,Total,100
Croatia,2001,Female,100
Croatia,2001,Male,100
Croatia,2001,Total,100
Croatia,2000,Female,100
Croatia,2000,Male,100
Croatia,2000,Total,100
